name,total_hg19_counts,total_mm10_counts,unique_hg19_genes,unique_mm10_genes,hg19_unique_count_ratio,mm10_unique_count_ratio,hg19_multiplet,mm10_multiplet,hg19_mm10_multiplet,Multiplet,Multiplet_Type,Droplet_Contents
alignments.possorted.tagged_BC01918_N02,3647,42,3456,41,0.993441198533802,0.993552787153476,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01919_N03,30,6780,29,6046,0.990032465666808,0.987011598102583,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01920_N01,15,3573,15,3370,1,0.99285030135795,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01921_N04,28,9791,26,8306,0.977760076871805,0.982100170493868,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01922_N03,31,7747,30,6776,0.990451384681875,0.985045471489442,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01923_N03,4751,43,4414,43,0.99130960844074,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01924_N02,3454,39,3266,37,0.993130599605776,0.985630449663366,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01926_N02,4619,60,4303,60,0.991601524531521,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01927_N02,17,5104,17,4688,1,0.990042084065159,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01929_N03,4787,57,4472,56,0.991967086115195,0.99562222293835,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01930_N04,41,11999,40,10020,0.993350711351002,0.980810358352526,FALSE,TRUE,FALSE,TRUE,Mouse + Mouse,Mouse + Mouse
alignments.possorted.tagged_BC01931_N01,3301,28,3105,28,0.992444842870959,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01932_N01,13,3831,13,3555,1,0.990937840316445,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01933_N03,35,8383,35,7213,1,0.983360467234664,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01934_N05,23,5749,23,5176,1,0.987871546369411,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01935_N02,30,5711,29,5222,0.990032465666808,0.989651777666101,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01936_N04,52,9993,51,8491,0.99508557627924,0.982314393763622,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01937_N04,38,8028,37,6885,0.992668696792005,0.982916740914681,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01938_N02,4142,44,3876,44,0.992030784658574,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01939_N03,28,7438,27,6513,0.989086010759597,0.985102479982632,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01940_N04,3301,7264,3145,6481,0.994024725024546,0.987171313566119,FALSE,FALSE,TRUE,TRUE,Human + Mouse,Human + Mouse
alignments.possorted.tagged_BC01941_N01,2646,34,2526,34,0.994110748124863,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01942_N03,27,7069,27,6363,1,0.988128914316939,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01943_N02,22,7024,22,6204,1,0.985984263775861,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01944_N02,3910,45,3669,45,0.992308550634922,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01945_N03,25,8058,25,7211,1,0.987652595652168,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01946_N02,4540,62,4229,60,0.991572956785408,0.992055062965285,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01947_N01,12,4337,12,4027,1,0.991144867972726,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01948_N03,35,5901,35,5361,1,0.98894706189592,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01949_N03,5998,50,5477,50,0.989554353361309,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01950_N02,30,5879,30,5337,1,0.988855697656302,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01951_N04,37,9135,36,7844,0.99241218580678,0.983293149235987,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01952_N03,33,9632,31,8287,0.98211919869119,0.983603467892915,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01953_N04,35,7422,35,6585,1,0.986574114599537,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01954_N03,4138,45,3883,44,0.992362539138478,0.994096441196862,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01955_N03,31,7608,31,6594,1,0.983994529353383,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01956_N02,4402,43,4056,43,0.99024272597007,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01957_N03,4869,48,4473,48,0.990009090690092,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01958_N05,58,11207,57,9396,0.995716786895741,0.981097279978429,FALSE,TRUE,FALSE,TRUE,Mouse + Mouse,Mouse + Mouse
alignments.possorted.tagged_BC01959_N03,24,6495,21,5837,0.957983281670876,0.987832524858383,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01960_N02,4683,44,4308,44,0.99012444501168,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01961_N04,5838,52,5322,48,0.989329154974454,0.97974240179184,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01962_N03,24,7528,24,6670,1,0.986443611083721,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01963_N04,35,8622,25,7176,0.905361660573886,0.979742497701319,FALSE,TRUE,FALSE,TRUE,Mouse + Mouse,Mouse + Mouse
alignments.possorted.tagged_BC01964_N01,12,3716,12,3518,1,0.99333911318331,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
